                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0266,                 2.0504,                 1.5778,                0.38546,                0.40953,                0.39869,                0.18306,                 1.8322,                 1.9923,                 1.4268,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.0415,                 2.0943,                 1.6027,                0.39304,                0.43441,                0.33793,                0.15456,                 1.8143,                 1.8404,                 1.4226,             0.00073704,             0.00073704,             0.00073704
                     37,                 2.0135,                 2.0109,                 1.5735,                0.34808,                 0.4186,                  0.362,                0.17022,                 1.8308,                 1.8099,                  1.428,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.0091,                 1.9179,                 1.5498,                0.51532,                0.45729,                0.42087,                0.19644,                 1.8417,                 1.7369,                 1.4336,             0.00071504,             0.00071504,             0.00071504
                     39,                  1.962,                 1.9824,                 1.5549,                0.48487,                 0.4596,                  0.399,                0.19948,                 1.8209,                 1.7699,                 1.4164,             0.00070404,             0.00070404,             0.00070404
                     40,                  1.962,                 1.9581,                 1.5759,                0.34226,                0.52403,                0.28453,                0.12807,                 1.8062,                 2.1843,                 1.4132,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.0051,                 1.9846,                 1.5634,                0.39922,                0.44386,                0.37098,                0.18611,                 1.8416,                 1.9146,                 1.4403,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.9563,                 1.9224,                 1.5649,                0.48124,                0.45507,                0.42401,                0.20307,                 1.7812,                 1.6849,                 1.4039,             0.00067104,             0.00067104,             0.00067104
                     43,                  1.922,                 1.8747,                 1.5231,                0.40169,                0.39353,                0.36537,                0.18271,                 1.7987,                   1.71,                 1.4094,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.9765,                 1.9139,                  1.558,                0.49227,                0.45938,                 0.4227,                0.21628,                 1.7956,                 1.7085,                 1.3949,             0.00064905,             0.00064905,             0.00064905
                     45,                   1.97,                 1.8578,                 1.5045,                0.44526,                0.40875,                0.40052,                0.20412,                 1.8486,                 1.6953,                 1.4222,             0.00063805,             0.00063805,             0.00063805
                     46,                  1.948,                 1.9232,                 1.5399,                0.47586,                0.48088,                0.42268,                0.21827,                 1.8324,                 1.6765,                 1.4411,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.9271,                 1.8425,                 1.4928,                0.42592,                0.46879,                0.40077,                0.20376,                  1.811,                 1.6956,                 1.4292,             0.00061605,             0.00061605,             0.00061605
                     48,                  1.897,                 1.8497,                 1.4633,                0.39035,                0.49868,                0.38473,                0.19142,                 1.7735,                 1.6975,                 1.3725,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.9211,                 1.8284,                 1.4893,                0.52857,                0.38308,                0.40805,                0.20441,                   1.84,                 1.7073,                 1.4334,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.9215,                 1.8204,                 1.5016,                0.45952,                0.44103,                0.39444,                0.20433,                 1.7885,                 1.6705,                 1.4158,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.9122,                 1.8232,                 1.4935,                0.36751,                 0.5598,                0.41166,                0.19887,                 1.8066,                 1.6855,                 1.4027,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.9379,                 1.8619,                 1.5184,                0.43611,                0.51132,                0.39748,                0.20103,                 1.8218,                 1.7076,                 1.4169,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.9062,                 1.8492,                 1.4942,                0.53561,                0.42148,                0.42339,                0.21332,                 1.7648,                  1.745,                 1.3633,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.8878,                  1.791,                 1.4784,                0.46509,                0.43696,                0.41171,                0.21211,                  1.765,                 1.6135,                 1.3719,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.8662,                 1.7779,                 1.4862,                0.53236,                0.55104,                0.46855,                0.24037,                 1.7576,                 1.5946,                 1.3744,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.9109,                 1.7865,                 1.4943,                0.48734,                0.52677,                0.44609,                0.23776,                 1.7734,                 1.6129,                 1.3917,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.8838,                 1.8216,                 1.4823,                0.46964,                0.52631,                0.46499,                0.24816,                 1.7802,                 1.6158,                 1.4011,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.8732,                 1.8146,                 1.4723,                0.41632,                 0.4837,                0.37418,                0.18966,                 1.7966,                 1.7958,                 1.3997,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.8461,                  1.744,                 1.4426,                0.51041,                0.55436,                0.44585,                0.23097,                 1.7519,                 1.5911,                  1.361,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.8687,                 1.7591,                 1.4839,                0.45636,                0.50599,                0.42749,                0.22584,                 1.7795,                 1.6841,                 1.4161,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.8481,                 1.7308,                 1.4691,                0.43789,                0.48491,                0.40552,                0.21129,                 1.7655,                 1.7053,                 1.3728,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.8305,                 1.7416,                 1.4466,                0.47617,                0.52976,                0.47063,                0.25579,                 1.7351,                 1.5908,                 1.3551,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.8686,                 1.7454,                  1.483,                0.36752,                0.39608,                0.39176,                0.20508,                  1.755,                 1.6687,                 1.3829,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.8657,                 1.7125,                 1.4444,                0.51816,                0.47291,                0.49477,                0.26399,                 1.8071,                 1.5968,                 1.3921,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.8117,                 1.7174,                 1.4355,                0.45342,                0.50292,                0.43036,                 0.2274,                 1.7437,                 1.5608,                 1.3567,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.8226,                 1.6953,                 1.4463,                0.32546,                0.47068,                0.42766,                0.22589,                 1.7687,                  1.586,                  1.362,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.8178,                 1.6764,                 1.4425,                0.45967,                0.59351,                0.48742,                0.25707,                  1.763,                 1.5355,                 1.3856,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.7971,                 1.6718,                 1.4431,                0.29796,                 0.5315,                0.42667,                0.21372,                 1.7546,                 1.6006,                 1.3694,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.8071,                 1.6492,                 1.4287,                0.44518,                0.52459,                0.43858,                0.21205,                 1.8199,                 1.5957,                 1.3868,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.8141,                 1.6542,                 1.4372,                0.43188,                0.55345,                0.47416,                0.24645,                 1.7214,                 1.5731,                  1.353,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.7865,                 1.6188,                 1.4068,                0.50533,                0.53315,                0.48789,                0.23602,                 1.7604,                 1.5777,                 1.3531,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.8254,                 1.6497,                   1.43,                0.44519,                0.52586,                0.45015,                0.23145,                 1.7492,                 1.5223,                  1.368,             0.00034108,             0.00034108,             0.00034108
