                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0459,                  2.088,                 1.7103,                0.51101,                0.38752,                 0.4288,                0.20951,                 1.9064,                 2.1989,                 1.7255,             0.00038507,             0.00038507,             0.00038507
                     36,                  2.063,                 2.1251,                 1.7367,                0.43271,                 0.4447,                0.41121,                0.20265,                 1.8983,                 2.2466,                 1.7133,             0.00036307,             0.00036307,             0.00036307
                     37,                 2.0415,                 2.0431,                 1.7079,                0.38374,                0.43912,                0.45185,                 0.2209,                 1.8738,                 2.1594,                 1.7152,             0.00034108,             0.00034108,             0.00034108
                     38,                 2.0444,                 1.9524,                 1.6811,                0.38891,                0.43363,                0.40281,                0.20132,                 1.8702,                 2.2401,                 1.6774,             0.00031908,             0.00031908,             0.00031908
                     39,                 2.0118,                 2.0166,                 1.6956,                0.41019,                0.49001,                0.46276,                0.23967,                 1.8907,                 2.0856,                 1.6954,             0.00029708,             0.00029708,             0.00029708
                     40,                 2.0074,                 1.9713,                 1.7102,                0.64948,                0.36105,                0.46757,                0.24768,                 1.9291,                 2.1381,                 1.7409,             0.00027508,             0.00027508,             0.00027508
                     41,                 2.0068,                 2.0054,                  1.706,                0.60022,                0.42403,                0.49712,                0.27105,                 1.9041,                 2.1663,                 1.6981,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.9648,                 1.9692,                 1.6771,                0.41289,                 0.5242,                0.48306,                0.26478,                 1.9121,                 2.2001,                 1.7091,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.9416,                 1.9504,                 1.6939,                0.58443,                0.42426,                0.45737,                0.25812,                   1.84,                 2.0986,                 1.7028,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.9525,                 1.9289,                 1.6959,                0.52494,                0.40987,                0.46234,                 0.2491,                 1.9017,                 2.1824,                 1.7148,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.9132,                 1.8815,                 1.6762,                0.62342,                0.42347,                 0.4645,                0.25499,                 1.9564,                 2.0614,                  1.706,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.9283,                 1.8762,                 1.6947,                0.59744,                0.42477,                0.47783,                0.26826,                 1.8752,                 2.0968,                 1.7077,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.9055,                 1.8861,                 1.6663,                0.53958,                0.44642,                 0.4684,                0.25699,                 1.8796,                 2.1592,                 1.6831,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.9004,                 1.8477,                 1.6586,                0.49478,                0.48153,                0.45966,                 0.2451,                 1.8648,                 2.0886,                 1.6983,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                  1.923,                 1.8498,                 1.6608,                0.41632,                0.50491,                0.45535,                0.24906,                 1.8652,                  2.032,                 1.6933,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 1.8652,                 1.8177,                 1.6308,                0.49408,                0.47588,                0.47277,                0.25834,                 1.8677,                 2.0186,                 1.6869,             5.5106e-05,             5.5106e-05,             5.5106e-05
