                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2545,                 1.9686,                 1.4232,                0.46818,                0.40452,                0.35102,                0.15054,                 2.2053,                 1.9806,                 1.3526,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.3102,                 1.9797,                 1.4409,                0.37685,                0.36102,                0.30571,                0.12296,                 2.2466,                 1.9095,                 1.3478,             0.00073704,             0.00073704,             0.00073704
                     37,                 2.2458,                 1.9588,                  1.412,                0.45134,                0.29953,                0.29932,                0.11851,                 2.2205,                  1.896,                  1.326,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.2369,                 1.8692,                 1.3984,                0.46839,                0.37133,                0.34948,                0.16007,                 2.1451,                 1.8279,                 1.3144,             0.00071504,             0.00071504,             0.00071504
                     39,                 2.2008,                 1.9083,                 1.3927,                 0.5054,                0.36499,                0.31048,                0.13866,                 2.1255,                 1.8584,                 1.3151,             0.00070404,             0.00070404,             0.00070404
                     40,                 2.2186,                 1.8976,                 1.4263,                0.42156,                0.32472,                0.33629,                0.13876,                 2.1535,                 1.7795,                 1.3486,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.2459,                 1.8808,                 1.4321,                0.45123,                0.37678,                0.34945,                0.15682,                 2.0889,                 1.7724,                 1.2962,             0.00068204,             0.00068204,             0.00068204
                     42,                 2.2135,                 1.9013,                 1.3976,                0.37882,                0.34835,                0.30688,                0.11657,                 2.1934,                 1.9135,                 1.3419,             0.00067104,             0.00067104,             0.00067104
                     43,                 2.1739,                  1.846,                 1.3649,                0.69361,                0.30397,                 0.3038,                 0.1211,                 2.1247,                  1.872,                 1.3151,             0.00066005,             0.00066005,             0.00066005
                     44,                 2.2106,                  1.872,                 1.3954,                0.54829,                0.32413,                0.36659,                0.15189,                 2.0727,                 1.7673,                 1.2919,             0.00064905,             0.00064905,             0.00064905
