                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2702,                 2.0242,                  1.417,                0.39828,                0.30819,                0.31331,                0.13768,                 2.3522,                 2.4048,                 1.5225,             0.00038507,             0.00038507,             0.00038507
                     36,                 2.3238,                 2.0375,                 1.4436,                0.48511,                0.29509,                0.33327,                0.13117,                 2.2628,                 2.2606,                 1.4989,             0.00036307,             0.00036307,             0.00036307
                     37,                 2.2769,                 2.0108,                 1.4157,                0.46014,                0.27502,                0.30914,                0.13838,                 2.1412,                 2.3657,                 1.4634,             0.00034108,             0.00034108,             0.00034108
                     38,                 2.2827,                 1.9085,                 1.4203,                0.43869,                0.30332,                0.34732,                0.14241,                 2.1673,                 2.1651,                 1.4766,             0.00031908,             0.00031908,             0.00031908
                     39,                 2.2456,                  1.934,                 1.4098,                 0.5733,                0.27148,                0.35769,                0.16352,                 2.1608,                 2.1144,                 1.4749,             0.00029708,             0.00029708,             0.00029708
                     40,                 2.2489,                 1.9385,                 1.4467,                 0.4859,                0.30981,                0.37509,                0.14206,                 2.1303,                 2.1407,                 1.4653,             0.00027508,             0.00027508,             0.00027508
                     41,                 2.2431,                 1.9809,                 1.4186,                0.38926,                0.34057,                0.36917,                0.16246,                 2.1982,                 2.2025,                 1.4733,             0.00025309,             0.00025309,             0.00025309
                     42,                 2.2023,                 1.9277,                 1.4177,                0.27262,                0.49293,                0.39481,                0.17394,                  2.217,                 2.1076,                 1.4877,             0.00023109,             0.00023109,             0.00023109
                     43,                 2.1524,                  1.875,                 1.4074,                0.44679,                0.31841,                0.33806,                0.14934,                 2.0476,                 2.0785,                 1.4278,             0.00020909,             0.00020909,             0.00020909
                     44,                 2.1626,                  1.881,                  1.399,                0.37225,                0.34574,                0.37015,                0.15862,                  2.165,                 2.1328,                 1.4704,             0.00018709,             0.00018709,             0.00018709
                     45,                 2.1227,                 1.8361,                  1.386,                0.35689,                0.34695,                0.38062,                0.15939,                 2.1341,                 2.0635,                 1.4497,             0.00016509,             0.00016509,             0.00016509
                     46,                 2.1585,                 1.8373,                 1.3917,                0.31494,                0.40524,                0.37349,                 0.1457,                 2.1422,                 2.0072,                 1.4515,              0.0001431,              0.0001431,              0.0001431
                     47,                 2.1368,                 1.8219,                 1.3957,                0.50674,                0.28372,                0.38983,                0.15857,                 2.0608,                 2.1012,                 1.4153,              0.0001211,              0.0001211,              0.0001211
                     48,                 2.1389,                  1.818,                 1.4041,                0.46899,                 0.2901,                0.38262,                0.16609,                 2.1045,                  2.061,                 1.4362,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 2.1445,                 1.8081,                 1.3898,                0.47618,                0.32095,                0.36577,                0.15714,                 2.1088,                 2.0605,                 1.4328,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 2.1242,                 1.7894,                 1.3763,                0.51814,                0.28872,                0.38111,                0.16648,                 2.1688,                 2.0986,                 1.4591,             5.5106e-05,             5.5106e-05,             5.5106e-05
