                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0525,                 2.1392,                 1.7305,                0.25331,                0.30094,                0.29311,                0.13114,                 1.9292,                 2.0249,                 1.6318,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.0755,                 2.2081,                 1.7547,                0.35137,                0.33578,                0.33437,                0.14622,                 1.9181,                 1.9868,                  1.608,             0.00073704,             0.00073704,             0.00073704
                     37,                 2.0515,                 2.0805,                 1.7269,                0.32068,                0.39277,                0.32668,                0.14712,                 1.9649,                 1.9451,                 1.6447,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.0441,                 1.9864,                 1.7026,                0.30625,                0.33292,                0.32093,                0.14507,                 1.9377,                 1.8356,                  1.597,             0.00071504,             0.00071504,             0.00071504
                     39,                 2.0017,                 2.0254,                  1.716,                0.25821,                0.30746,                0.29471,                 0.1379,                 1.9647,                 1.9921,                 1.6254,             0.00070404,             0.00070404,             0.00070404
                     40,                 2.0306,                 2.0284,                 1.7415,                0.25226,                 0.4159,                0.32127,                0.14519,                 1.9053,                 1.9555,                 1.6019,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.0497,                  2.028,                  1.722,                0.26718,                0.30577,                0.31633,                 0.1414,                 1.9202,                  1.916,                 1.6082,             0.00068204,             0.00068204,             0.00068204
                     42,                 2.0093,                 1.9933,                 1.7189,                0.25877,                0.40756,                0.32582,                0.14791,                 1.8688,                  1.832,                 1.5492,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.9791,                 1.9874,                  1.677,                0.31194,                0.30402,                0.29949,                0.14227,                 1.8866,                  1.849,                 1.5713,             0.00066005,             0.00066005,             0.00066005
                     44,                 2.0126,                 1.9958,                  1.687,                0.39113,                0.35644,                0.35136,                0.16012,                 1.9221,                 1.7384,                 1.5926,             0.00064905,             0.00064905,             0.00064905
                     45,                 2.0061,                 1.9249,                 1.6373,                0.30029,                0.41587,                0.34791,                0.16421,                  1.907,                  1.837,                 1.5881,             0.00063805,             0.00063805,             0.00063805
                     46,                  2.019,                 1.9875,                 1.7132,                0.31616,                0.43489,                0.34506,                0.16604,                 1.8703,                 1.7959,                 1.5735,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.9623,                 1.9016,                 1.6443,                0.31652,                0.38941,                0.34638,                0.16232,                 1.8514,                 1.7174,                 1.5676,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.9482,                 1.9235,                 1.6515,                0.38073,                0.44517,                0.35406,                0.15959,                 1.8433,                 1.7949,                 1.5462,             0.00060505,             0.00060505,             0.00060505
