                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.273,                 1.9845,                 1.4296,                0.35684,                0.33824,                0.29819,                0.14345,                 2.2053,                 2.2139,                 1.4702,             0.00038507,             0.00038507,             0.00038507
                     36,                 2.2972,                 1.9838,                 1.4517,                0.31804,                0.37793,                0.32045,                0.14534,                 2.1979,                 2.0837,                 1.4856,             0.00036307,             0.00036307,             0.00036307
                     37,                 2.2465,                 1.9222,                 1.4157,                0.34278,                0.32886,                0.26512,                  0.121,                 2.1686,                 2.1006,                 1.4437,             0.00034108,             0.00034108,             0.00034108
                     38,                 2.2752,                 1.8698,                 1.4182,                0.41579,                0.32158,                0.29793,                0.13695,                 2.2487,                 2.0715,                 1.4765,             0.00031908,             0.00031908,             0.00031908
                     39,                 2.2079,                   1.88,                 1.4187,                0.37661,                0.32978,                0.28454,                0.11744,                 2.1984,                 2.1242,                 1.4789,             0.00029708,             0.00029708,             0.00029708
                     40,                 2.2405,                 1.8907,                 1.4575,                0.34872,                0.44016,                0.31138,                0.13734,                 2.2381,                 2.1612,                 1.4712,             0.00027508,             0.00027508,             0.00027508
                     41,                 2.2087,                 1.9172,                 1.4178,                0.37093,                0.38303,                0.34329,                0.15081,                 2.2284,                 2.2649,                 1.4551,             0.00025309,             0.00025309,             0.00025309
                     42,                 2.1758,                 1.8856,                 1.4179,                 0.3989,                0.45736,                0.35272,                0.14655,                 2.2079,                 2.0629,                 1.4691,             0.00023109,             0.00023109,             0.00023109
                     43,                 2.1261,                 1.8276,                 1.4023,                0.34547,                0.36538,                0.32366,                0.14445,                 2.2027,                 2.1445,                 1.4368,             0.00020909,             0.00020909,             0.00020909
                     44,                 2.1648,                 1.8687,                 1.4111,                0.39562,                0.46194,                0.38802,                 0.1648,                 2.1398,                 2.0562,                 1.4182,             0.00018709,             0.00018709,             0.00018709
                     45,                 2.1224,                  1.789,                 1.3899,                0.37008,                0.50068,                0.40206,                0.16343,                  2.215,                 2.0804,                 1.4686,             0.00016509,             0.00016509,             0.00016509
                     46,                 2.1112,                 1.7777,                 1.3889,                0.40246,                 0.4396,                0.37745,                0.17062,                 2.1612,                 2.0172,                 1.4353,              0.0001431,              0.0001431,              0.0001431
                     47,                 2.1073,                 1.7886,                 1.3999,                0.42419,                0.44565,                0.34374,                0.14869,                 2.0833,                 2.0135,                 1.4168,              0.0001211,              0.0001211,              0.0001211
                     48,                 2.1153,                 1.7611,                 1.4071,                0.38743,                0.40448,                0.34458,                0.15021,                 2.1399,                 2.0193,                 1.4259,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 2.1069,                 1.7683,                 1.3931,                 0.3919,                0.41606,                0.34616,                0.16833,                 2.0944,                 1.9439,                 1.4149,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 2.1022,                 1.7596,                 1.3804,                0.38714,                0.40826,                0.33691,                0.15336,                 2.1158,                  1.992,                 1.4257,             5.5106e-05,             5.5106e-05,             5.5106e-05
